Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"11","Super Red, 1.9V","WL-SMCW SMT Mono-color Chip LED Waterclear, size 0603, Super Red, 1.9V, 140deg","DD1, DD2, DD3, DD4, DD5, DD6, DD7, DD8, DD9, DD10, DD11, DD12","","Not managed","","12","","","","","","",""
"32","SN65HVD231D","3.3V CAN Transceiver with Sleep Mode, 17 mA, 3.3 V, -40 to 85 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)","U1","CMP-0315-00079-2","Released","Up to date","1","Texas Instruments","SN65HVD231D","Volume Production","Mouser","595-SN65HVD231D","2.71","2.71"
"31","NUP2105L","Dual Bidirectional Voltage Suppressor 350W Peak","TVS1","","Not managed","","1","","","","","","",""
"14","MMZ1005S601CT000"," Signal Line Ferrite Bead 600O @ 100MHz 300mA DCR 520mO SMD 0402","FB1","CMP-08257-000098-1","New From Design","Up to date","1","TDK","MMZ1005S601CT000","Volume Production","Mouser","810-MMZ1005S601CT000","0.08501","0.08501"
"35","MMSZ4692T1G","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel","Z1300-1, Z1301-1, Z1302-1, Z1303-1, Z1304-1, Z1305-1, Z1306-1, Z1307-1, Z1308-1, Z1309-1, Z1310-1, Z1311-1","CMP-1060-00434-1","Released","Up to date","12","ON Semiconductor","MMSZ4692T1G","Volume Production","Newark","80Y9458","0.11051","1.33"
"15","LTC6811HG-1#PBF","Multicell Battery Monitor, 60 V Vin MAX, 48-pin SOP (G-48), -40 to 125 degC, Pb-Free","IC1","","Not managed","","1","Analog Devices / Linear Technology","LTC6811HG-1#PBF","Volume Production","Digikey","LTC6811HG-1#PBF-ND","",""
"34","INA148UA","+/- 200 V Common-Mode Voltage Difference Amplifier, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)","U3_1, U3_2, U3_3, U3_4, U3_5, U3_6, U3_7, U3_8, U3_9, U3_10, U3_11, U3_12","CMP-0985-00055-2","Released","Up to date","12","Texas Instruments","INA148UA","Volume Production","Arrow Electronics","INA148UA","4.87","58.42"
"8","Header 17X2","Header, 17-Pin, Dual row","CN3","","Not managed","","1","","","","","","",""
"9","Header 15X2","Header, 15-Pin, Dual row","CN4","","Not managed","","1","","","","","","",""
"20","Header 13X2","Header, 13-Pin, Dual row","P2","","Not managed","","1","","","","","","",""
"21","Header 12X2","Header, 12-Pin, Dual row","P3","","Not managed","","1","","","","","","",""
"6","Header 10X2","Header, 10-Pin, Dual row","CN1","","Not managed","","1","","","","","","",""
"7","Header 8X2","Header, 8-Pin, Dual row","CN2","","Not managed","","1","","","","","","",""
"19","Header 6","Header, 6-Pin","P1","","Not managed","","1","","","","","","",""
"16","Header 2","Header, 2-Pin","Jp4, Jp5, Jp6, Jp9, Jp10, Jp11, Jp12","","Not managed","","7","","","","","","",""
"17","G5NB-1A-E-DC24","RELAY GEN PURPOSE SPST 5A 24V","K1","CMP-08822-000175-1","New From Design","Up to date","1","Omron","G5NB-1A-E-DC24","Volume Production","RSComponents","6008274","1.78","1.78"
"22","FDN340P","MOSFET P-CH 20V 2A SSOT3","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12","CMP-2100-03638-2","New From Design","Up to date","12","ON Semiconductor / Fairchild","FDN340P","Volume Production","Farnell","9846310","0.4175","5.01"
